Ticker,Mentions
SPY,23
MLFB,11
SNPW,10
TSLA,10
CARV,7
BBIG,7
CTXR,6
RQHTF,6
AC,5
AMLH,5
BNXAF,5
ITOX,5
AI,5
AMZN,5
PQEFF,5
HUGE,4
IBKR,4
CRM,4
OTLK,4
SFIO,4
TGT,4
ASX,4
AVCT,4
SIRC,4
IPO,4
SP,4
