Ticker,Mentions
SPY,23
CPI,19
TSLA,11
MLFB,10
SNPW,9
CARV,7
PQEFF,6
CTXR,6
BBIG,6
RQHTF,6
AMLH,5
TWTR,5
IPO,5
BNXAF,5
ITOX,5
AC,5
SIRC,4
AVCT,4
AMZN,4
BIG,4
HUGE,4
SFIO,4
SP,4
JP,4
NOVC,4
HYMC,4
DKNG,4
TGT,4
AI,4
