Ticker,Mentions
SPY,21
MLFB,11
TSLA,10
SNPW,9
CARV,7
BBIG,7
CTXR,6
PQEFF,6
RQHTF,6
AMLH,5
AC,5
BNXAF,5
IPO,5
AI,5
ITOX,5
IBKR,4
TWTR,4
HUGE,4
AMZN,4
SFIO,4
SP,4
NOVC,4
NVDA,4
CPI,4
ASX,4
AVCT,4
SIRC,4
AAPL,4
